source_id,filename,label,sequence,druid_no_audio
,dv559gn8984_282_a_pm.wav,"Tape 6, Side A",,
,dv559gn8984_282_a_sh.wav,"Tape 6, Side A",,
,dv559gn8984_282_a_sl.mp3,"Tape 6, Side A",11,
,dv559gn8984_282_b_pm.wav,"Tape 6, Side B",,
,dv559gn8984_282_b_sh.wav,"Tape 6, Side B",,
,dv559gn8984_282_b_sl.mp3,"Tape 6, Side B",12,
SC1017_s5_Edgar,dy131xj1040_212_a_pm.wav,"Tape 1, Side A",,
,dy131xj1040_212_a_sh.wav,"Tape 1, Side A",,
,dy131xj1040_212_a_sl.mp3,"Tape 1, Side A",1,
,dy131xj1040_212_b_pm.wav,"Tape 1, Side B",,
,dy131xj1040_212_b_sh.wav,"Tape 1, Side B",,
,dy131xj1040_212_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s3_Harwood,fp464wj3586_175_a_pm.wav,"Tape 1, Side A",,
,fp464wj3586_175_a_sh.wav,"Tape 1, Side A",,
,fp464wj3586_175_a_sl.mp3,"Tape 1, Side A",1,
SC1017_s1_Jacobson,fp605js5398_80_a_p1_pm.wav,"Tape 1, Side A",,
,fp605js5398_80_a_p2_pm.wav,"Tape 1, Side A",,
,fp605js5398_80_a_pm.wav,"Tape 1, Side A",,
,fp605js5398_80_a_sh.wav,"Tape 1, Side A",,
,fp605js5398_80_a_sl.mp3,"Tape 1, Side A",1,
,fp605js5398_80_b_p1_pm.wav,"Tape 1, Side B",,
,fp605js5398_80_b_p2_pm.wav,"Tape 1, Side B",,
,fp605js5398_80_b_pm.wav,"Tape 1, Side B",,
,fp605js5398_80_b_sh.wav,"Tape 1, Side B",,
,fp605js5398_80_b_sl.mp3,"Tape 1, Side B",2,
,fp605js5398_81_a_p1_pm.wav,"Tape 2, Side A",,
,fp605js5398_81_a_p2_pm.wav,"Tape 2, Side A",,
,fp605js5398_81_a_pm.wav,"Tape 2, Side A",,
,fp605js5398_81_a_sh.wav,"Tape 2, Side A",,
,fp605js5398_81_a_sl.mp3,"Tape 2, Side A",3,
,fp605js5398_81_b_pm.wav,"Tape 2, Side B",,
,fp605js5398_81_b_sh.wav,"Tape 2, Side B",,
,fp605js5398_81_b_sl.mp3,"Tape 2, Side B",4,
SC1017_s1_Guthrie,fr537mg9514_68_a_pm.wav,"Tape 1, Side A",,
,fr537mg9514_68_a_sh.wav,"Tape 1, Side A",,
,fr537mg9514_68_a_sl.mp3,"Tape 1, Side A",1,
,fr537mg9514_68_b_pm.wav,"Tape 1, Side B",,
,fr537mg9514_68_b_sh.wav,"Tape 1, Side B",,
,fr537mg9514_68_b_sl.mp3,"Tape 1, Side B",2,
